iter	Passed	Remaining
0	149	148921
1	155	77429
2	162	54082
3	169	42275
4	189	37767
5	197	32695
6	205	29120
7	215	26773
8	223	24661
9	230	22845
10	235	21217
11	240	19837
12	246	18683
13	252	17757
14	258	16943
15	263	16221
16	269	15560
17	274	14948
18	279	14436
19	285	13982
20	290	13534
21	296	13163
22	300	12776
23	306	12456
24	311	12149
25	316	11872
26	325	11712
27	331	11491
28	336	11254
29	341	11057
30	348	10897
31	354	10737
32	375	10996
33	409	11643
34	423	11674
35	436	11684
36	440	11467
37	446	11304
38	451	11123
39	455	10933
40	459	10756
41	465	10610
42	469	10456
43	474	10305
44	480	10188
45	485	10067
46	489	9932
47	494	9804
48	499	9694
49	504	9576
50	508	9464
51	513	9366
52	519	9274
53	524	9188
54	529	9092
55	534	9010
56	539	8932
57	544	8837
58	548	8749
59	553	8675
60	558	8591
61	562	8513
62	568	8451
63	573	8384
64	577	8311
65	583	8253
66	588	8197
67	593	8133
68	598	8074
69	602	8011
70	607	7954
71	611	7884
72	619	7865
73	624	7811
74	629	7759
75	633	7701
76	638	7651
77	643	7602
78	647	7551
79	652	7502
80	657	7463
81	662	7417
82	666	7361
83	671	7319
84	675	7271
85	679	7219
86	684	7184
87	689	7142
88	693	7097
89	698	7060
90	702	7019
91	706	6976
92	711	6941
93	717	6911
94	721	6876
95	726	6844
96	733	6823
97	738	6799
98	744	6771
99	747	6731
100	752	6699
101	757	6665
102	761	6631
103	766	6602
104	770	6567
105	775	6539
106	780	6514
107	785	6483
108	789	6456
109	804	6510
110	809	6480
111	814	6454
112	818	6424
113	823	6400
114	828	6375
115	832	6347
116	836	6316
117	841	6289
118	846	6264
119	850	6237
120	855	6215
121	860	6189
122	864	6167
123	869	6145
124	874	6120
125	878	6096
126	884	6079
127	889	6056
128	893	6034
129	898	6011
130	903	5991
131	907	5969
132	912	5946
133	917	5930
134	922	5913
135	927	5892
136	932	5875
137	938	5859
138	942	5839
139	946	5817
140	953	5807
141	959	5795
142	965	5784
143	971	5772
144	975	5752
145	981	5739
146	986	5724
147	990	5704
148	995	5687
149	1000	5672
150	1005	5655
151	1010	5639
152	1015	5622
153	1021	5610
154	1028	5604
155	1034	5596
156	1039	5583
157	1044	5566
158	1049	5551
159	1054	5538
160	1059	5521
161	1064	5505
162	1070	5495
163	1075	5484
164	1080	5470
165	1085	5452
166	1090	5439
167	1096	5430
168	1100	5412
169	1104	5394
170	1109	5379
171	1114	5366
172	1120	5355
173	1125	5341
174	1130	5331
175	1136	5318
176	1141	5305
177	1145	5290
178	1150	5277
179	1155	5263
180	1160	5251
181	1165	5239
182	1171	5231
183	1175	5213
184	1179	5198
185	1184	5182
186	1188	5165
187	1192	5152
188	1196	5135
189	1201	5120
190	1206	5108
191	1210	5095
192	1215	5082
193	1220	5069
194	1224	5054
195	1228	5038
196	1234	5030
197	1239	5020
198	1244	5009
199	1249	4996
200	1253	4984
201	1258	4973
202	1263	4959
203	1268	4948
204	1273	4937
205	1277	4923
206	1282	4911
207	1286	4900
208	1291	4886
209	1295	4874
210	1299	4859
211	1304	4847
212	1309	4836
213	1313	4822
214	1317	4810
215	1322	4800
216	1326	4787
217	1331	4774
218	1335	4764
219	1341	4755
220	1345	4744
221	1350	4733
222	1354	4720
223	1359	4708
224	1363	4697
225	1367	4683
226	1371	4671
227	1377	4662
228	1380	4649
229	1385	4638
230	1390	4627
231	1393	4614
232	1398	4603
233	1402	4592
234	1407	4582
235	1412	4572
236	1417	4562
237	1422	4554
238	1426	4542
239	1431	4534
240	1437	4526
241	1441	4516
242	1447	4508
243	1451	4498
244	1456	4488
245	1461	4479
246	1466	4470
247	1470	4460
248	1475	4449
249	1481	4443
250	1485	4434
251	1490	4423
252	1495	4416
253	1501	4410
254	1505	4399
255	1510	4390
256	1515	4382
257	1520	4373
258	1525	4364
259	1529	4354
260	1534	4345
261	1539	4336
262	1544	4327
263	1550	4322
264	1555	4314
265	1560	4305
266	1564	4296
267	1570	4288
268	1574	4277
269	1578	4267
270	1583	4259
271	1587	4249
272	1592	4240
273	1598	4234
274	1602	4225
275	1607	4215
276	1612	4208
277	1617	4199
278	1620	4189
279	1628	4186
280	1632	4176
281	1636	4166
282	1640	4156
283	1645	4149
284	1651	4143
285	1655	4134
286	1661	4127
287	1666	4118
288	1669	4108
289	1674	4100
290	1679	4092
291	1683	4082
292	1688	4074
293	1694	4067
294	1698	4059
295	1703	4052
296	1708	4043
297	1713	4035
298	1717	4026
299	1722	4019
300	1727	4011
301	1731	4001
302	1736	3993
303	1740	3985
304	1745	3976
305	1750	3969
306	1755	3963
307	1760	3955
308	1764	3946
309	1769	3939
310	1775	3933
311	1780	3925
312	1784	3916
313	1790	3912
314	1796	3906
315	1800	3897
316	1805	3889
317	1810	3883
318	1815	3876
319	1820	3869
320	1825	3861
321	1831	3855
322	1837	3850
323	1841	3842
324	1846	3834
325	1852	3831
326	1858	3825
327	1864	3819
328	1868	3811
329	1873	3804
330	1879	3798
331	1884	3791
332	1888	3783
333	1894	3778
334	1901	3774
335	1906	3767
336	1911	3759
337	1915	3751
338	1922	3748
339	1927	3741
340	1932	3734
341	1936	3725
342	1953	3742
343	1958	3735
344	1963	3728
345	1969	3721
346	1973	3713
347	1978	3706
348	1983	3699
349	1988	3692
350	1993	3685
351	1998	3678
352	2003	3672
353	2009	3666
354	2013	3658
355	2018	3651
356	2024	3646
357	2028	3638
358	2033	3630
359	2038	3624
360	2044	3618
361	2048	3610
362	2053	3603
363	2058	3596
364	2062	3588
365	2067	3580
366	2071	3573
367	2076	3565
368	2080	3557
369	2084	3549
370	2088	3541
371	2094	3535
372	2099	3528
373	2103	3521
374	2108	3513
375	2113	3506
376	2117	3499
377	2122	3492
378	2127	3485
379	2131	3478
380	2136	3470
381	2142	3466
382	2147	3458
383	2151	3451
384	2156	3444
385	2161	3438
386	2166	3431
387	2170	3424
388	2175	3417
389	2180	3410
390	2184	3403
391	2189	3396
392	2195	3390
393	2200	3384
394	2204	3376
395	2210	3371
396	2215	3365
397	2219	3357
398	2224	3351
399	2229	3344
400	2234	3337
401	2238	3329
402	2243	3323
403	2248	3316
404	2252	3309
405	2258	3303
406	2262	3296
407	2266	3289
408	2271	3282
409	2276	3276
410	2280	3268
411	2285	3261
412	2290	3255
413	2295	3249
414	2300	3242
415	2306	3237
416	2311	3231
417	2315	3223
418	2320	3217
419	2325	3211
420	2329	3203
421	2334	3196
422	2339	3191
423	2343	3184
424	2347	3176
425	2353	3171
426	2359	3166
427	2364	3159
428	2368	3152
429	2373	3146
430	2378	3140
431	2382	3133
432	2387	3126
433	2393	3121
434	2397	3114
435	2402	3107
436	2407	3102
437	2412	3095
438	2416	3087
439	2421	3081
440	2426	3075
441	2430	3068
442	2435	3062
443	2440	3056
444	2444	3048
445	2450	3043
446	2456	3039
447	2461	3033
448	2466	3026
449	2471	3020
450	2475	3013
451	2480	3007
452	2484	3000
453	2489	2994
454	2493	2987
455	2498	2981
456	2513	2986
457	2518	2980
458	2523	2974
459	2528	2968
460	2532	2961
461	2537	2955
462	2542	2948
463	2546	2941
464	2552	2936
465	2556	2929
466	2561	2923
467	2566	2917
468	2571	2910
469	2575	2903
470	2579	2897
471	2584	2890
472	2588	2883
473	2592	2877
474	2597	2870
475	2601	2864
476	2606	2857
477	2633	2876
478	2637	2869
479	2642	2863
480	2647	2856
481	2651	2849
482	2656	2843
483	2660	2836
484	2665	2830
485	2671	2825
486	2676	2819
487	2680	2812
488	2684	2805
489	2691	2801
490	2696	2795
491	2700	2788
492	2705	2782
493	2709	2775
494	2713	2768
495	2719	2762
496	2723	2756
497	2727	2749
498	2732	2743
499	2736	2736
500	2740	2729
501	2744	2722
502	2748	2716
503	2753	2709
504	2757	2702
505	2761	2695
506	2766	2690
507	2771	2684
508	2776	2677
509	2780	2671
510	2785	2665
511	2789	2658
512	2795	2653
513	2799	2647
514	2803	2640
515	2809	2635
516	2814	2629
517	2819	2623
518	2823	2616
519	2828	2611
520	2832	2604
521	2837	2598
522	2842	2592
523	2846	2586
524	2851	2579
525	2870	2586
526	2875	2581
527	2880	2575
528	2885	2568
529	2890	2563
530	2895	2557
531	2899	2550
532	2904	2544
533	2910	2539
534	2915	2533
535	2920	2527
536	2925	2522
537	2929	2516
538	2934	2509
539	2939	2504
540	2944	2498
541	2948	2491
542	2953	2485
543	2958	2480
544	2962	2473
545	2967	2467
546	2971	2461
547	2976	2454
548	2980	2448
549	2985	2442
550	2989	2435
551	2993	2429
552	2998	2423
553	3002	2417
554	3006	2410
555	3010	2404
556	3015	2398
557	3019	2391
558	3023	2385
559	3028	2379
560	3033	2373
561	3037	2367
562	3041	2361
563	3046	2355
564	3050	2348
565	3054	2342
566	3059	2336
567	3064	2330
568	3069	2324
569	3073	2318
570	3078	2312
571	3083	2306
572	3087	2300
573	3091	2294
574	3095	2288
575	3100	2282
576	3104	2275
577	3108	2269
578	3112	2263
579	3117	2257
580	3122	2251
581	3126	2245
582	3131	2240
583	3136	2234
584	3140	2227
585	3145	2222
586	3150	2216
587	3154	2210
588	3158	2204
589	3163	2198
590	3167	2192
591	3172	2186
592	3177	2181
593	3182	2174
594	3186	2169
595	3191	2163
596	3195	2157
597	3200	2151
598	3205	2145
599	3209	2139
600	3213	2133
601	3218	2127
602	3222	2121
603	3226	2115
604	3230	2109
605	3235	2103
606	3239	2097
607	3243	2091
608	3249	2086
609	3253	2080
610	3257	2073
611	3262	2068
612	3266	2062
613	3270	2056
614	3275	2050
615	3280	2044
616	3284	2038
617	3289	2033
618	3294	2027
619	3298	2021
620	3302	2015
621	3307	2009
622	3311	2003
623	3315	1997
624	3319	1991
625	3324	1986
626	3328	1980
627	3332	1974
628	3337	1968
629	3341	1962
630	3345	1956
631	3350	1950
632	3354	1945
633	3358	1939
634	3363	1933
